title,url,brand,main_image,description,gtin13,currency,price,product_details,information,primary_category,sub_category_1,sub_category_2,images,avg_rating,reviews_count,uniq_id,scraped_at
Pup Peroni Rounds Beef Brisket Dog Treat Each - 5 OZ,https://www.albertsons.com/shop/product-details.970300646.html,Pup-Peroni,https://images.albertsons-media.com/is/image/ABS/970300646-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Pup Peroni Rounds Beef Brisket Dog Treat Each - 5 OZ,7910046528,USD,4.39,"Dog Snacks, with Beef Brisket
                    

                        No red 40. No fillers. Real beef no.1 ingredient. Fun round shape. Irresistible aroma. pupperoni.com. Comments or Questions? Call 1-888-321-7530 weekdays. Please provide code from bottom of package. Produced in Spanish Fork, Utah, USA.","[{'Directions': ""Feed as a snack or treat, as part of a healthy diet. Break into small pieces for small dogs. Always monitor your pet while treating. When treating, do not exceed 10% of your dog's daily calorie requirement.""}, {'Directions': ""Feed as a snack or treat, as part of a healthy diet. Break into small pieces for small dogs. Always monitor your pet while treating. When treating, do not exceed 10% of your dog's daily calorie requirement.""}, {'About the Producer': 'Big Heart Pet Brands, Inc.'}]",Pet Care,Dog Care,Dog Snacks,"images.albertsons-media.com/is/image/ABS/970300646-ECOM, images.albertsons-media.com/is/image/ABS/970300646-C1N1, images.albertsons-media.com/is/image/ABS/970300646-A1C1, images.albertsons-media.com/is/image/ABS/970300646-L4, images.albertsons-media.com/is/image/ABS/970300646-A7N1",4.8,20,82789e6b-e0e0-5226-88fe-5fd694fb5927,2022-11-24T13:47:49
Evergreen Mug Always My Sister - 1 EA,https://www.albertsons.com/shop/product-details.970310035.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/970310035?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Evergreen Mug Always My Sister - 1 EA,80194648597,USD,15.99,,[],"Paper, Cleaning & Home",Kitchen Accessories,Gadgets & Utensils,images.albertsons-media.com/is/image/ABS/970310035,0.0,0,e194515a-34c6-5b8e-b263-aa04b32d8fdc,2022-11-24T13:47:50
Sb Thats All Mug Medications - 1 EA,https://www.albertsons.com/shop/product-details.970305475.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/970305475?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Sb Thats All Mug Medications - 1 EA,88608369954,USD,15.99,,[],"Paper, Cleaning & Home",Kitchen Accessories,Gadgets & Utensils,images.albertsons-media.com/is/image/ABS/970305475,0.0,0,a4a08e77-6641-5043-803b-01f4c4e89ca4,2022-11-24T13:47:50
Skittles Original Valentines Day Candy Exchange Fun Size Chewy Candy - 12.33 Oz,https://www.albertsons.com/shop/product-details.970122682.html,Skittles,https://images.albertsons-media.com/is/image/ABS/970122682-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Skittles Original Valentines Day Candy Exchange Fun Size Chewy Candy - 12.33 Oz,2200028843,USD,4.99,"Candies, Original, Valentine Exchange, Bite Size, Fun Size Pouches
                    

                        Box Contains: 23 Skittles fun size pouches with to/from on every pack. Natural & artificial flavors. Per 1 Pack Serving: 60 calories; 0.5 g sat fat (3% DV); 0 mg sodium (0% DV); 11 g total sugars. 23 servings per pack. Gluten-free. Contains bioengineered food ingredients. Plus Teacher's Card. A teacher is worth a thousand skittles packs. Consider this a start. Happy Valentine's Day. Share the rainbow. Taste the rainbow! Gelatin free. www.mars.com. Questions? Comments? Call 1-800-974-4539. Dispose properly.","[{'Product Attributes': 'Gluten Free'}, {'Product Attributes': 'Gluten Free'}, {'Directions': ""Cut along the dotted line. How to Use Your Teacher's Card: 1. Carefully cut card out from back of box. 2. Address the card and sign your name.""}, {'About the Producer': 'Mars Wrigley Confectionery US, LLC'}]",,,,"images.albertsons-media.com/is/image/ABS/970122682-ECOM, images.albertsons-media.com/is/image/ABS/970122682-C1N1, images.albertsons-media.com/is/image/ABS/970122682-A1C1, images.albertsons-media.com/is/image/ABS/970122682-L2, images.albertsons-media.com/is/image/ABS/970122682-L4, images.albertsons-media.com/is/image/ABS/970122682-A7N1",4.8,56,1c3faff1-b461-556e-8d58-0313446a2cbf,2022-11-24T13:47:52
Mud Pie Salt Pepper Grider Crate - EA,https://www.albertsons.com/shop/product-details.970109822.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/970109822?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Mud Pie Salt Pepper Grider Crate - EA,71854067744,USD,44.99,,[],"Paper, Cleaning & Home",Kitchen Accessories,Gadgets & Utensils,images.albertsons-media.com/is/image/ABS/970109822,0.0,0,4aaa9133-6aec-556d-8b5f-dbedcd66c9ab,2022-11-24T13:47:53
Lion King Read-along Storybook And Cd - EA,https://www.albertsons.com/shop/product-details.970338156.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/970338156?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Lion King Read-along Storybook And Cd - EA,978136804156,USD,6.99,,[],,,,images.albertsons-media.com/is/image/ABS/970338156,0.0,0,0003c119-92ab-5534-bc43-0792bcb4898a,2022-11-24T13:47:54
Ruffles Potato Chips Original - 2.5 Oz,https://www.albertsons.com/shop/product-details.960544059.html,Ruffles,https://images.albertsons-media.com/is/image/ABS/960544059?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Ruffles Potato Chips Original - 2.5 Oz,2840032445,USD,2.29,"Potato Chips, Original
                    

                        Ruffles Have Rrridges! Can't Get Enough Ridges?","[{'About the Producer': 'Frito-Lay, INC'}, {'About the Producer': 'Frito-Lay, INC'}]","Cookies, Snacks & Candy",Cookies,Variety & Multipacks,images.albertsons-media.com/is/image/ABS/960544059,0.0,0,6f9ce87b-90ee-5d39-92e8-4ce873340c5a,2022-11-24T13:47:57
Bic Silky Touch Razor - 2 Count,https://www.albertsons.com/shop/product-details.970117809.html,Bic,https://images.albertsons-media.com/is/image/ABS/970117809-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Bic Silky Touch Razor - 2 Count,7033091614,USD,1.49,"Shaver
                    

                        Designed for a sensitive, soothing, comfortable shave. Slim head and longer, tapered handle for added control. BIC Performance Policy: If you are not satisfied with the performance of this product, please return it to BIC and we will gladly replace it at no cost to you. www.bicworld.com. Made in Greece.","[{'About the Producer': 'BIC USA'}, {'About the Producer': 'BIC USA'}]",Personal Care & Health,Trial Size,Trial Size,"images.albertsons-media.com/is/image/ABS/970117809-ECOM, images.albertsons-media.com/is/image/ABS/970117809-C1N1, images.albertsons-media.com/is/image/ABS/970117809-A1C1, images.albertsons-media.com/is/image/ABS/970117809-A7N1",3.8,59,058ee304-eef7-5caa-8a20-9f2f5d20adbb,2022-11-24T13:47:57
International Collection Pumpkin Seed Oil Virgin - 8.45 Fl. Oz.,https://www.albertsons.com/shop/product-details.960183316.html,International Collection,https://images.albertsons-media.com/is/image/ABS/960183316-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,International Collection Pumpkin Seed Oil Virgin - 8.45 Fl. Oz.,7224829205,USD,15.99,"Pumpkin Seed Oil, Virgin
                    

                        Drizzle over risotto, roasted vegetables or fish to add a pleasant flavor and aroma to your dish. No artificial flavors, color or preservatives. A gluten free food. HFA Approved: Halal Food Authority. Suitable for vegetarians and vegans. Non GMO Project verified. nongmoproject.org. Unrefined. Cold pressed. Cooking Temperature: Low. www.worldfiner.com. www.internationalcollectionoils.com. Product of Austria. Packed in the UK.","[{'Product Attributes': 'Gluten Free,Vegan'}, {'Product Attributes': 'Gluten Free,Vegan'}, {'Warning': 'Contains: Processed in a facility that handles tree nut and peanut oils.'}, {'Directions': 'Store in a cool, dry place away from direct sunlight.'}, {'About the Producer': 'WORLD FINER FOODS'}]","Condiments, Spice & Bake",Vinegar & Oil,Specialty Oil,"images.albertsons-media.com/is/image/ABS/960183316-ECOM, images.albertsons-media.com/is/image/ABS/960183316-C1N1, images.albertsons-media.com/is/image/ABS/960183316-A1C1, images.albertsons-media.com/is/image/ABS/960183316-L2, images.albertsons-media.com/is/image/ABS/960183316-L4, images.albertsons-media.com/is/image/ABS/960183316-A7N1",0.0,0,0729b686-1a75-5faf-861c-d0099d1a1c50,2022-11-24T13:47:59
S&W Heirloom Series Beans Jacobs Cattle - 15 Oz,https://www.albertsons.com/shop/product-details.960548933.html,S & W,https://images.albertsons-media.com/is/image/ABS/960548933-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,S&W Heirloom Series Beans Jacobs Cattle - 15 Oz,7227344016,USD,1.29,"Beans, Jacob's Cattle, Heirloom Series
                    

                        Limited Edition 6 g protein. 11 g fiber. Fat free. Non-GMO Project verified. nongmoproject.org. Premium quality since 1896. Make It Special with S&W. S&W quality starts with the best beans from the best fields, gently soaked and heated to the perfect texture. We've done all the work, to make sure the beans are ready when you are. Because better beans make better meals. Heirloom Series: These white beans with vivid splashes of maroon are named for their resemblance to a herd of cattle, and hang love been a favorite in western Maine. This lovely, mild flavored bean is perfect in chili, chowder, baked beans or any salad. Satisfaction Guarantee: If for any reason you're not satisfied, we'll give you a full refund. Contact us at swbeans.com. swbeans.com. Non BPA can lining (Can liner not derived from BPA).","[{'Product Attributes': 'Fat Free,Gluten Free'}, {'Product Attributes': 'Fat Free,Gluten Free'}, {'About the Producer': 'Faribault Foods, Inc.'}]",Canned Goods & Soups,Canned Seafood & Fish,Shrimp,"images.albertsons-media.com/is/image/ABS/960548933-ECOM, images.albertsons-media.com/is/image/ABS/960548933-C1N1, images.albertsons-media.com/is/image/ABS/960548933-A1C1, images.albertsons-media.com/is/image/ABS/960548933-L2, images.albertsons-media.com/is/image/ABS/960548933-L4, images.albertsons-media.com/is/image/ABS/960548933-A7N1",0.0,0,da4b3b76-f4ce-57c7-a3da-967f3ad2592b,2022-11-24T13:47:59
