product,brand,product_category,product_sub_category
Pup Peroni Rounds Beef Brisket Dog Treat Each - 5 OZ,Pup-Peroni,Pet Care,Dog Care
Evergreen Mug Always My Sister - 1 EA,Miscellaneous,"Paper, Cleaning & Home",Kitchen Accessories
Sb Thats All Mug Medications - 1 EA,Miscellaneous,"Paper, Cleaning & Home",Kitchen Accessories
Skittles Original Valentines Day Candy Exchange Fun Size Chewy Candy - 12.33 Oz,Skittles,,
Mud Pie Salt Pepper Grider Crate - EA,Miscellaneous,"Paper, Cleaning & Home",Kitchen Accessories
Lion King Read-along Storybook And Cd - EA,Miscellaneous,,
Ruffles Potato Chips Original - 2.5 Oz,Ruffles,"Cookies, Snacks & Candy",Cookies
Bic Silky Touch Razor - 2 Count,Bic,Personal Care & Health,Trial Size
International Collection Pumpkin Seed Oil Virgin - 8.45 Fl. Oz.,International Collection,"Condiments, Spice & Bake",Vinegar & Oil
S&W Heirloom Series Beans Jacobs Cattle - 15 Oz,S & W,Canned Goods & Soups,Canned Seafood & Fish
Always Anti Bunch Long Liner - 48 CT,Always,Personal Care & Health,Feminine Care
Resers Relish Cranberry Orange - 12 Oz,Resers,Deli,Deli Salads
Mud Pie Bistro Cream And Sugar Set - Each,Miscellaneous,"Paper, Cleaning & Home",Kitchen Accessories
Maybelline Color Sensational The Cream Finish Warm Me Up Lipstick - 0.15 Oz,Maybelline,Personal Care & Health,Skin Care & Cosmetics
El Mexicano Creminieves Wafers Chocolate Pack - 7.5 Oz,Miscellaneous,International Cuisine,Hispanic Foods
Kolorae Glitter Birthday Candle 7 - EA,Miscellaneous,"Paper, Cleaning & Home",Hardware & Home Needs
Brownwood Farms Sauce BBQ Cherry - 21 Oz,Brownwood Farms,"Condiments, Spice & Bake","Sauce, Marinades & Mixes"
Claussen Premium Crisp Sauerkraut Jar - 32 Fl. Oz.,Claussen,"Condiments, Spice & Bake","Pickles, Relish & Olives"
Kool-Aid Unsweetened Grape Artificially Flavored Powdered Drink Mix Packet - 0.14 Oz,Kool-Aid,Beverages,Juice & Smoothies
Toasted Head Wine Red Merlot - 750 Ml,R.H. Phillips,"Wine, Beer & Spirits",Wine
Cr Gibson Tumbler Paw Prints - 1 EA,Miscellaneous,"Paper, Cleaning & Home",Kitchen Accessories
Signature Select Oil Grapeseed - 16.9 Fl. Oz.,Signature SELECT,"Condiments, Spice & Bake",Vinegar & Oil
Mud Pie Dot Gold Silver Wine Glass - EA,Miscellaneous,"Paper, Cleaning & Home",Kitchen Accessories
Ferrari Carano Fume Blanc Sauvignon Blanc California White Wine - 750 Ml,Ferrari-Carano,"Wine, Beer & Spirits",Wine
